year,ipcn_annual_mean
2009,89.53916666666667
2010,91.575
2011,94.69833333333332
2012,97.22000000000001
2013,98.90583333333332
2014,99.52749999999999
2015,100.0
2016,100.29083333333334
2017,102.02666666666666
2018,103.58583333333333
2019,105.39166666666667
2020,106.25583333333333
2021,108.94083333333333
2022,115.84333333333332
2023,120.1775
2024,122.6425
2025,125.41083333333334
